Group,Donor,DonorComplete,FundingUSD,PercentGrand,OutstandingPledgesUSD,css_class
America,United States,United States,445526726,"0,2863978612",0,country
Europe,United Kingdom,United Kingdom,144540917,"0,0929152104",0,country
Other,World Bank,World Bank,139598831,"0,0897382902",100572090,international
Europe,Germany,Germany,131553846,"0,084566734",0,country
Other,Private***,Private (individuals & organisations),124472892,"0,0800148857",16588747,private
America,Canada,Canada,72298557,"0,0464756678",0,country
Asia,Japan,Japan,60543825,"0,0389193756",0,country
Europe,Sweden,Sweden,58918045,"0,0378742757",0,country
Africa,African Development Bank,African Development Bank,46373230,"0,0298100947",17400000,international
Europe,Netherlands,Netherlands,36854042,"0,0236908769",0,country
Europe,European Commission,European Commission,32586078,"0,0209473024",0,international
Other,Carry-over*,Carry-over (donors not specified),24783814,"0,0159317745",0,international
Europe,Norway,Norway,24164261,"0,0155335073",0,country
Europe,Belgium,Belgium,20620185,"0,0132552696",0,country
Europe,Switzerland,Switzerland,20215045,"0,0129948336",0,country
Other,CERF**,Central Emergency Response Fund (CERF),17149846,"0,0110244323",0,international
Asia,China,China,14000000,"0,0089996174",0,country
Ocenia,Australia,Australia,13213697,"0,0084941583",0,country
Europe,France,France,12553100,"0,0080695069",0,country
Europe,Denmark,Denmark,12535745,"0,0080583506",0,country
Europe,Finland,Finland,12242399,"0,007869779",0,country
Asia,India,India,10500000,"0,006749713",0,country
Europe,Spain,Spain,10449207,"0,0067170618",0,country
Asia,Israel,Israel,8770000,"0,0056376174",500000,country
America,Brazil,Brazil,8250778,"0,0053038461",0,country
Other,Others,Others,52906628,"0,0340099577",5000000,international
